"reviewer","date_reviewed","star_rating","message","order_id"
"jordanelizabeth326","06/20/2019","5","All the cards are super cute!","1465180863"
"Kathy","06/19/2019","5","awesome card for friends 60th Anniversary.  They loved it","1468534567"
"Aaron","06/17/2019","5","","1445844224"
"dap9900","06/16/2019","5","","1451390867"
"Terin","06/15/2019","5","Soy cute!! Bride and groom will love it!","1458564794"
"Sophie Price","06/11/2019","5","","1440841087"
"Jules","06/11/2019","5","Just as described. Good quality. Would buy from again.","1462182283"
"Jacqueline","06/10/2019","5","i love the cards, the puns make me laugh! card is the perfect size for writing a message to a loved one, and as a bonus the proceeds help make a difference in the world.","1453561190"
"Shannon","06/09/2019","5","Very cute cards! Great quality and shipped fast!","1465792805"
"Katy","06/08/2019","5","","1445404394"
"Katy","06/08/2019","5","","1445404394"
"mightyquie","06/08/2019","5","So cute and came very fast. Just what I was looking for and was exactly as described:)","1465522579"
"Anne","06/07/2019","5","Love this! Perfect gift for my gamer boyfriend!","1463927191"
"Isabella","06/06/2019","5","","1447344750"
"Jess","06/05/2019","5","","1458048390"
"Erin","06/05/2019","5","","1455663609"
"Samantha","06/04/2019","5","","1447650729"
"Alanna","06/03/2019","5","","1455085060"
"Alanna","06/03/2019","5","","1455085060"
"Alanna","06/03/2019","5","","1455085060"
"Alanna","06/03/2019","5","","1455085060"
"Alanna","06/03/2019","5","","1455085060"
"Alanna","06/03/2019","5","","1455085060"
"Katie","06/03/2019","5","Great quality cards, arrived quickly. Will definitely buy from seller again!","1451093112"
"Charlotte","06/03/2019","5","Good idea for a beer lover ! \nSo funny :D","1438341220"
"Ana-Maria","06/02/2019","5","Super cute, got here on time!","1451856192"
"katienguyen","06/02/2019","5","","1455550263"
"Brittany","05/30/2019","5","Im a girl of punny proportions, and this card was cute, adorable, all of that wrapped in one! Thank you💕💕","1455161551"
"ahandwerk1","05/30/2019","5","","1444214596"
"ahandwerk1","05/30/2019","5","","1444214596"
"Steve","05/30/2019","5","Both of these arrived in short order. Well done.","1452963666"
"Katherine","05/27/2019","5","Absolutely adorable and exactly as pictured.","1451822132"
"Katherine","05/27/2019","5","Absolutely adorable and exactly as pictured.","1451822132"
"Jesse","05/20/2019","5","Great quality came quickly, my mom really liked it.","1444239078"
"boocat21","05/18/2019","5","Great card that was so perfect... Thanks.","1446201276"
"boocat21","05/18/2019","5","I love this card and so did my husband.","1446201276"
"Emily","05/18/2019","5","","1445099976"
"Shai","05/17/2019","5","","1449224089"
"Ca-Mara","05/17/2019","5","","1446781146"
"Katy","05/15/2019","5","","1445307676"
"cnmillzy","05/14/2019","5","","1444421074"
"Sailornikole","05/14/2019","5","Super cute and great quality! Can’t wait to use it on the big day for MOH/BM speeches 😍","1442542344"
"Amanda","05/13/2019","5","","1440089773"
"cpuncekar2","05/13/2019","5","","1440878395"
"Amanda","05/13/2019","5","Funny and original wedding card. Well made, good quality","1440385507"
"Katie","05/10/2019","5","Cute Design & Positive Message = best calendar ever <3","1404723162"
"Natalie","05/08/2019","5","","1446693089"
"Maria","05/04/2019","5","","1452108049"
